_address	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
30501	Isttemperatur-FE7	Isttemperatur FE7	°C	uint16be	1	1	0		value.temperature			
30502	Solltemperatur-FE7	Solltemperatur FE7	°C	uint16be	1	1	0		value.temperature			
30503	Isttemperatur-FEK	Isttemperatur FEK	°C	uint16be	1	1	0		value.temperature			
30504	Solltemperatur-FEK	Solltemperatur FEK	°C	uint16be	1	1	0		value.temperature			
30505	Raumfeuchte	Raumfeuchte	°C	uint16be	1	1	0		value.temperature			
30506	Taupunkttemperatur	Taupunkttemperatur	°C	int16be	1	1	0		value.temperature			
30507	Aussentemperatur	Aussentemperatur	°C	int16be	1	1	0		value.temperature			
30508	Isttemperatur HK1	Isttemperatur HK1	°C	uint16be	1	1	0		value.temperature			
30509	Solltemperatur-HK1	Solltemperatur HK 1	°C	uint16be	1	1	0		value.temperature			
30510	Solltemperatur HK1	Solltemperatur HK1	°C	uint16be	1	1	0		value.temperature			
30511	Isttemperatur-HK2	Isttemperatur HK 2	°C	uint16be	1	1	0		value.temperature			
30512	Solltemperatur-HK2	Solltemperatur HK 2	°C	uint16be	1	1	0		value.temperature			
30513	Vorlaufisttemperatur WP	Vorlaufisttemperatur WP	°C	uint16be	1	1	0		value.temperature			
30514	Vorlaufisttemperatur NHZ	Vorlaufisttemperatur NHZ	°C	uint16be	1	1	0		value.temperature			
30515	Vorlaufisttemperatur	Vorlaufisttemperatur	°C	uint16be	1	1	0		value.temperature			
30516	Ruecklaufisttemperatur	Rücklaufisttemperatur	°C	uint16be	1	1	0		value.temperature			
30517	Festwertsolltemperatur	Festwertsolltemperatur	°C	uint16be	1	1	0		value.temperature			
30518	Pufferisttemperatur	Pufferisttemperatur	°C	uint16be	1	1	0		value.temperature			
30519	Puffersolltemperatur	Puffersolltemperatur	°C	uint16be	1	1	0		value.temperature			
30520	Heizungsdruck	Heizungsdruck	bar	uint16be	1	1	0		value.valve			
30521	Volumenstrom	Volumenstrom	l/min	uint16be	1	1	0		level.valve			
30522	WW-Isttemperatur	Isttemperatur Warmwasser	°C	uint16be	1	1	0		value.temperature			
30523	WW-Solltemperatur	Solltemperatur Warmwasser	°C	uint16be	1	1	0		value.temperature			
30524	Isttemp-Geblaese	Isttemperatur Gebläse	K	uint16be	1	1	0		value.temperature			
30525	Solltemp-Geblaese	Solltemperatur Gebläse	K	uint16be	1	1	0		value.temperature			
30526	Isttemp-Flaeche	Isttemperatur Fläche	K	uint16be	1	1	0		value.temperature			
30527	Solltemp-Flaeche	Solltemperatur Fläche	K	uint16be	1	1	0		value.temperature			
30528	Kollektortemperatur	Kollektortemperatur	°C	uint16be	1	1	0		value.temperature			
30529	Speichertemperatur	Speichertemperatur	°C	uint16be	1	1	0		value.temperature			
30530	Laufzeit-solar	Laufzeit Solar	h	uint16be	1	1	0		value			
30531	Isttemperatur-extern	Isttemperatur - Wärmeerzeuger extern	°C	uint16be	1	1	0		value.temperature			
30532	Solltemperatur-extern	Solltemperatur - Wärmeerzeuger extern	K	uint16be	1	1	0		value.temperature			
30533	Einsatzgrenze-HZG	Einsatzgrenze Heizung	°C	int16be	1	1	0		value.temperature			
30534	Einsatzgrenze-WW	Einsatzgrenze Warmwasser	°C	int16be	1	1	0		value.temperature			
30535	Laufzeit-extern	Laufzeit - Wärmeerzeuger extern	h	uint16be	1	1	0		value			
30536	Quellentemperatur	Quellentemperatur	°C	int16be	1	1	0		value.temperature			
30537	Quellentemperatur-Min	Quellentemperatur Min	°C	int16be	1	1	0		value.temperature			
30538	Quellendruck	Quellendruck	bar	int16be	1	1	0		value.valve			
30542	Ruecklauftemp-WP1	Rücklauftemperatur Wärmepumpe 1	°C	uint16be	1	1	0		value.temperature			
30543	Vorlauftemp-WP1	Vorlauftemperatur Wärmepumpe 1	°C	uint16be	1	1	0		value.temperature			
30544	Heissgastemp-WP1	Heissgastemperatur Wärmepumpe 1	°C	uint16be	1	1	0		value.temperature			
30545	Druck-ND-WP1	Druck Niederdruck Wärmepumpe 1	bar	uint16be	1	1	0		value.valve			
30546	Druck-MD-WP1	Druck Mitteldruck Wärmepumpe 1	bar	uint16be	1	1	0		value.valve			
30547	Druck-HD-WP1	Druck Hochdruck Wärmepumpe 1	bar	uint16be	1	1	0		value.valve			
30548	Wasservolumenstrom-WP1	Wasservolumenstrom Wärmepumpe 1	l/min	uint16be	1	1	0		value.valve			
30549	Ruecklauftemp-WP2	Rücklauftemperatur Wärmepumpe 2	°C	uint16be	1	1	0		value.temperature			
30550	Vorlauftemp-WP2	Vorlauftemperatur Wärmepumpe 2	°C	uint16be	1	1	0		value.temperature			
30551	Heissgastemp-WP2	Heissgastemperatur Wärmepumpe 2	°C	uint16be	1	1	0		value.temperature			
30552	Druck-ND-WP2	Druck Niederdruck Wärmepumpe 2	bar	uint16be	1	1	0		value.valve			
30553	Druck-MD-WP2	Druck Mitteldruck Wärmepumpe 2	bar	uint16be	1	1	0		value.valve			
30554	Druck-HD-WP2	Druck Hochdruck Wärmepumpe 2	bar	uint16be	1	1	0		value.valve			
30555	Wasservolumenstrom-WP2	Wasservolumenstrom Wärmepumpe 2	l/min	uint16be	1	1	0		value.valve			
30556	Ruecklauftemp-WP3	Rücklauftemperatur Wärmepumpe 3	°C	uint16be	1	1	0		value.temperature			
30557	Vorlauftemp-WP3	Vorlauftemperatur Wärmepumpe 3	°C	uint16be	1	1	0		value.temperature			
30558	Heissgastemp-WP3	Heissgastemperatur Wärmepumpe 3	°C	uint16be	1	1	0		value.temperature			
30559	Druck-ND-WP3	Druck Niederdruck Wärmepumpe 3	bar	uint16be	1	1	0		value.valve			
30560	Druck-MD-WP3	Druck Mitteldruck Wärmepumpe 3	bar	uint16be	1	1	0		value.valve			
30561	Druck-HD-WP3	Druck Hochdruck Wärmepumpe 3	bar	uint16be	1	1	0		value.valve			
30562	Wasservolumenstrom-WP3	Wasservolumenstrom Wärmepumpe 3	l/min	uint16be	1	1	0		value.valve			
30563	Ruecklauftemp-WP4	Rücklauftemperatur Wärmepumpe 4	°C	uint16be	1	1	0		value.temperature			
30564	Vorlauftemp-WP4	Vorlauftemperatur Wärmepumpe 4	°C	uint16be	1	1	0		value.temperature			
30565	Heissgastemp-WP4	Heissgastemperatur Wärmepumpe 4	°C	uint16be	1	1	0		value.temperature			
30566	Druck-ND-WP4	Druck Niederdruck Wärmepumpe 4	bar	uint16be	1	1	0		value.valve			
30567	Druck-MD-WP4	Druck Mitteldruck Wärmepumpe 4	bar	uint16be	1	1	0		value.valve			
30568	Druck-HD-WP4	Druck Hochdruck Wärmepumpe 4	bar	uint16be	1	1	0		value.valve			
30569	Wasservolumenstrom-WP4	Wasservolumenstrom Wärmepumpe 4	l/min	uint16be	1	1	0		value.valve			
30570	Ruecklauftemp-WP5	Rücklauftemperatur Wärmepumpe 5	°C	uint16be	1	1	0		value.temperature			
30571	Vorlauftemp-WP5	Vorlauftemperatur Wärmepumpe 5	°C	uint16be	1	1	0		value.temperature			
30572	Heissgastemp-WP5	Heissgastemperatur Wärmepumpe 5	°C	uint16be	1	1	0		value.temperature			
30573	Druck-ND-WP5	Druck Niederdruck Wärmepumpe 5	bar	uint16be	1	1	0		value.valve			
30574	Druck-MD-WP5	Druck Mitteldruck Wärmepumpe 5	bar	uint16be	1	1	0		value.valve			
30575	Druck-HD-WP5	Druck Hochdruck Wärmepumpe 5	bar	uint16be	1	1	0		value.valve			
30576	Wasservolumenstrom-WP5	Wasservolumenstrom Wärmepumpe 5	l/min	uint16be	1	1	0		value.valve			
30577	Ruecklauftemp-WP6	Rücklauftemperatur Wärmepumpe 6	°C	uint16be	1	1	0		value.temperature			
30578	Vorlauftemp-WP6	Vorlauftemperatur Wärmepumpe 6	°C	uint16be	1	1	0		value.temperature			
30579	Heissgastemp-WP6	Heissgastemperatur Wärmepumpe 6	°C	uint16be	1	1	0		value.temperature			
30580	Druck-ND-WP6	Druck Niederdruck Wärmepumpe 6	bar	uint16be	1	1	0		value.valve			
